scenario,n_points,nearest_neighbor_ratio,nearest_neighbor_p_value,quadrat_chisq,quadrat_p_value,max_l_minus_r,max_l_minus_r_at_m,ripley_above_envelope_any
raw_reports,290,0.6966309369798177,0.005,60.95327290214364,1.5956184299725307e-7,95.29733887305918,804.9720438901244,TRUE
unique_locations,251,0.8329418283717568,0.005,48.69956200112293,2.0126973097588565e-5,68.30379025966965,809.3232441273683,TRUE
drop_top5_locations,271,0.7234719726259998,0.005,47.6268437712475,3.030434009956283e-5,81.32812385095349,918.1032500584662,TRUE
